Tissue,Disease,Species,symbol,ID,Type,Expression,Target,Pathway,Function,PMID,Title,Year
heart,endomyocardial_fibrosis,mus_musculus,Snhg7,ENSMUSG00000086775,lncrna,up-regulation,MIR-34-5P,NA,Lncrna snhg7 could promote cardiac fibrosis via targeting miR-34-5p through acting as a ceRNA in mice aftermyocardial infarction (MI).,32507765,LncRNA SNHG7 promotes cardiac remodeling by upregulating ROCK1 via sponging miR-34-5p,2020
heart,heart_failure,mus_musculus,Fendrr,ENSMUSG00000097336,lncrna,up-regulation,TAC,NA,Loss-function of fendrr significantly alleviated the cardiac fibrosis phenotypes induced by TAC. indicating that fendrr is required for the pathogenesis of cardiac fibrosis.,31982134,Fendrr involves in the pathogenesis of cardiac fibrosis via regulating miR-106b/SMAD3 axis,2020
heart,endomyocardial_fibrosis,mus_musculus,Rmrp,ENSMUSG00000115420,lncrna,up-regulation,NA,NA,miR-613 was indicated to mediate the promoting effect of RMRP on cardiac fibroblast activation.,31485650,Upregulation of lncRNA RMRP promotes the activation of cardiac fibroblasts by regulating miR-613,2019
heart,diabetic_cardiomyopathy,mus_musculus,Crnde,ENSMUSG00000031736,lncrna,down-regulation,NA,TGF-BETA SIGNALING PATHWAY,Overexpression of Crnde attenuated cardiac fibrosis and enhanced cardiac function in mice with diabetes cardiomyopathy (DCM).,30748104,Long noncoding RNA Crnde attenuates cardiac fibrosis via Smad3-Crnde negative feedback in diabetic cardiomyopathy,2019
heart,endomyocardial_fibrosis,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,down-regulation,NA,PI3K-AKT SIGNALING PATHWAY,Overexpression of gas5 after injection with PCDNA-gas5 could attenuate cardiac fibrosis and improve cardiac function through increasing the expression of PTEN and decreasing the expression of MMP-2. alfa-SMA. and collagen i.,31173316,Overexpression of lncRNA GAS5 attenuates cardiac fibrosis through regulating PTEN/MMP-2 signal pathway in mice,2019
heart,endomyocardial_fibrosis,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,up-regulation,HMGB1,NF-KAPPA B SIGNALING PATHWAY,Palmitic acid (PA) can induce gas5 expression and that the downregulation of gas5 alleviated pa-induced myocardial inflammatory injury through the miR-26a/HMGB1/NF-KB axis.,30365114,Downregulation of growth arrest-specific transcript 5 alleviates palmitic acid-induced myocardial inflammatory injury through the miR-26a/HMGB1/NF-KB axis,2018
heart,endomyocardial_fibrosis,mus_musculus,Rassf1,ENSMUSG00000010067,lncrna,up-regulation,NA,NA,Rassf1-as1 inhibits the translation of rassf1a to exacerbate cardiac fibrosis in mice.,30571844,RASSF1-AS1. an antisense lncRNA of RASSF1A. inhibits the translation of RASSF1A to exacerbate cardiac fibrosis in mice,2019
heart,endomyocardial_fibrosis,mus_musculus,Sail,NA,lncrna,down-regulation,NA,TGF-BETA SIGNALING PATHWAY,SAIL inhibited the fibrotic process by directly binding with SAFB via 23 conserved nucleotide sequences. in turn blocked the access of SAFB to RNA pol II (RNA polymerase II) and reduced the transcription of fibrosis-related genes. Intriguingly.the human conserved fragment of SAIL (hSAIL) significantly suppressed the proliferation and collagen production of human cardiac fibroblasts.,33675440,SAIL: a new conserved anti-fibrotic lncRNA in the heart,2021
heart,heart_failure,mus_musculus,Sox2ot,ENSMUSG00000105265,lncrna,up-regulation,NA,TGF-BETA SIGNALING PATHWAY,Sox2ot/smad3 feedback loop promotes cardiac fibrosis in heart failure(HF).,32959533,LncRNA SOX2OT/Smad3 feedback loop promotes myocardial fibrosis in heart failure,2020
heart,endomyocardial_fibrosis,mus_musculus,AK081284,NA,lncrna,up-regulation,NA,NA,The levels of long noncoding RNA-AK081284 were increased in the cardiac fibroblasts (CFs) treated with high glucose or interleukin-17(IL-17). Knockout of IL-17 abrogated high glucose induced upregulation of AK081284. Overexpression of AK081284 in cultured CFs promoted the production of collagen and TGF-beta1. Both high glucose and IL-17 induced collagen and TGF-beta1 production were mitigated by the application of the siRNA for AK081284. In summary. deletion of IL-17 is able to mitigate myocardial fibrosis and improve cardiac function of diabetic mice. The IL-17/AK081284/TGFbeta1 signaling pathway mediates high glucose induced collagen production.,29305939,Ablation of interleukin-17 alleviated cardiac interstitial fibrosis and improved cardiac function via inhibiting long non-coding RNA-AK081284 in diabetic mice,2018
heart,myocardial_infarction,mus_musculus,H19,ENSMUSG00000000031,lncrna,down-regulation,KDM3A,NA,NA,31755219,LncRNA H19 ameliorates myocardial infarction-induced myocardial injury and maladaptive cardiac remodelling by regulating KDM3A,2020
heart,endomyocardial_fibrosis,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,MIR-29,NA,NA,32795172,Mechanism underlying increased cardiac extracellular matrix deposition in perinatal nicotine-exposed offspring,2020
heart,ventricular_dysfunction,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,MIR-29,NA,NA,32795172,Mechanism underlying increased cardiac extracellular matrix deposition in perinatal nicotine-exposed offspring,2020
intestine,colorectal_neoplasms,mus_musculus,Trp53cor1,100504267,lncrna,dysregulation,NA,NA,One of them. lincRNA-p21. was regulated by p53 and contributed to apoptosis in mouse embryonic fibroblasts.,24012455,Clinical significance of long intergenic noncoding RNA-p21 in colorectal cancer,2013
kidney,diabetic_nephropathy,mus_musculus,Cyp4b1-ps1,ENSMUSG00000081006,lncrna,down-regulation,NA,NA,A novel long non-coding RNA CYP4B1 PS1-001 regulates proliferation and fibrosis in diabetic nephropathy.,26923441,A novel long non-coding RNA CYP4B1-PS1-001 regulates proliferation and fibrosis in diabetic nephropathy,2016
kidney,kidney_failure_chronic,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,down-regulation,NA,NA,Activation of lncrna-gas5 attenuates kidney fibrosis by modulating miR-21 activity.,32791063,Long noncoding RNA-GAS5 retards renal fibrosis through repressing miR-21 activity,2020
kidney,diabetic_nephropathy,mus_musculus,Neat1,ENSMUSG00000092274,lncrna,up-regulation,NA,PI3K-AKT SIGNALING PATHWAY,Decrease of neat1 repressed the proliferation and fibrosis in diabetic nephropathies via activating the Akt/mTOR signaling pathway.,30515796,Long noncoding RNA NEAT1 accelerates the proliferation and fibrosis in diabetic nephropathy through activating Akt/mTOR signaling pathway,2019
kidney,acute_kidney_injury,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,NA,NA,Hypoxia-induced long non-coding RNA malat1 (metastasis associated lung adenocarcinoma transcript 1) to be upregulated in renal i/r injury.,29467431,Hypoxia-induced long non-coding RNA Malat1 is dispensable for renal ischemia/reperfusion-injury,2018
kidney,nephritis_interstitia,mus_musculus,Arid2,ENSMUSG00000033237,lncrna,up-regulation,NA,TGF-BETA SIGNALING PATHWAY,In vitro knockdown of Arid2-IR from tubular epithelial cells produced no effect on TGF-beta-induced Smad3 signaling and fibrosis but inhibited interleukin-1beta-stimulated NF-KB-dependent inflammatory response. In contrast. overexpression of Arid2-IR promoted interleukin-1beta-induced NF-KB signaling and inflammatory cytokine expression without alteration of TGF-beta-induced fibrotic response. Furthermore. treatment of obstructed kidney with Arid2-IR shRNA blunted NF-KB-driven renal inflammation without effect on TGF-beta/Smad3-mediated renal fibrosis.,25743111,Long Noncoding RNA Arid2-IR Is a Novel Therapeutic Target for Renal Inflammation,2015
kidney,diabetic_nephropathy,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,down-regulation,FN1,NA,Knockdown of lncrna gas5 leads to antifibrosis by competitively binding miR-96-5p. which inhibits the expression of FN1.,31810140,LncRNA GAS5 exacerbates renal tubular epithelial fibrosis by acting as a competing endogenous RNA of miR-96-5p,2020
kidney,diabetic_nephropathy,mus_musculus,Gm4419,ENSMUSG00000097055,lncrna,up-regulation,P50,NF-KAPPA B SIGNALING PATHWAY,Lincrna-gm4419 may participate in the inflammation. fibrosis and proliferation in mesangial cells under high-glucose condition through NF-KB/Nlrp3 inflammasome signaling pathway.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,Hottip,ENSMUSG00000055408,lncrna,up-regulation,NA,WNT SIGNALING PATHWAY,Lncrna hottip/miR-455-3p/wnt2b axis plays an important role in cell proliferation. inflammation. and extracellular matrix (ecm) accumulation in diabetic nephropathy.,31934070,Long non-coding RNA Hottip modulates high-glucose-induced inflammation and ECM accumulation through miR-455-3p/WNT2B in mus musculus mesangial cells,2019
kidney,diabetic_nephropathy,mus_musculus,Tug1,ENSMUSG00000056579,lncrna,down-regulation,TIMP3,NA,Lncrna tug1 inhibited high glucose-stimulated NRK-52e cell fibrosis and renal fibrosis in diabetic nephropathies mice.,31933879,LncRNA TUG1 ameliorates diabetic nephropathy by inhibiting miR-21 to promote TIMP3-expression,2019
kidney,kidney_failure_chronic,mus_musculus,Zfas1,ENSMUSG00000074578,lncrna,up-regulation,NA,WNT SIGNALING PATHWAY,LncRNA ZFAS1 from HCM could promote cardiac fibrosis through WNT/beta-catenin signal via exosome pathways.,33640882,Exosome-derived long non-coding RNA ZFAS1 controls cardiac fibrosis in chronic kidney disease,2021
kidney,diabetic_nephropathy,mus_musculus,Tmcc3,ENSMUSG00000020023,lncrna,down-regulation,NA,NA,Long non-coding RNA ENSMUST00000147869 protects mesangial cells from proliferation and fibrosis induced by diabetic nephropathy.,27083175,Long non-coding RNA ENSMUST00000147869 protects mesangial cells from proliferation and fibrosis induced by diabetic nephropathy,2016
kidney,diabetic_nephropathy,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,ZEB2,NA,Malat1 functions as a sponge RNA for miR-145 to derepress the expression of target gene zeb3. thereby inducing epithelial-mesenchymal transition (EMT) and fibrosis.,31081103,LncRNA MALAT1 facilities high glucose induced endothelial to mesenchymal transition and fibrosis via targeting miR-145/ZEB2 axis,2019
kidney,diabetic_nephropathy,mus_musculus,Oip5os1,ENSMUSG00000085438,lncrna,down-regulation,NA,HIF-1 SIGNALING PATHWAY,Overexpression of 1700020i14rik inhibited cell proliferation and expressions of renal fibrosis markers through miR-34a-5p/sirt1/hif-1 alfa pathway in mouse mesangial cells under high glucose condition.,29700282,LincRNA 1700020I14Rik alleviates cell proliferation and fibrosis in diabetic nephropathy via miR-34a-5p/Sirt1/HIF-1alpha signaling,2018
kidney,diabetic_nephropathy,mus_musculus,Xist,ENSMUSG00000086503,lncrna,up-regulation,CDKN1A,NA,Silenced xist inducing miR-93-5p-dependent cdkn1a inhibition was beneficial for preventing renal interstitial fibrosis in diabetic nephropathies.,31545928,Silencing of long noncoding RNA XIST protects against renal interstitial fibrosis in diabetic nephropathy via microRNA-93-5p-mediated inhibition of CDKN1A,2019
kidney,nephritis_interstitia,mus_musculus,Hotair,ENSMUSG00000086903,lncrna,up-regulation,NOTCH1,NA,Silencing lncrna hotair can up-regulate miR-124 to block notch2 pathway. and thereby alleviating epithelial-mesenchymal transition and renal interstitial fibrosis.,29717517,LncRNA HOTAIR promotes renal interstitial fibrosis by regulating Notch1 pathway via the modulation of miR-124,2019
kidney,diabetic_nephropathy,mus_musculus,Neat1,ENSMUSG00000092274,lncrna,up-regulation,NA,MAPK SIGNALING PATHWAY,Silencing neat1 can reverse the activation of epithelial-mesenchymal transition and fibrosis caused by klotho silencing in a manner dependent on the erk1/3 signaling pathway.,32054986,Long noncoding RNA NEAT1 is involved in the protective effect of Klotho on renal tubular epithelial cells in diabetic kidney disease through the ERK1/2 signaling pathway,2020
kidney,nephritis_interstitia,mus_musculus,Hotair,ENSMUSG00000086903,lncrna,up-regulation,NOTCH1,NOTCH SIGNALING PATHWAY,The contributory effect of lncrna hotair on renal interstitial fibrosis by activating the notch1/jagged1 signaling pathway via inhibition of miR-124. whereas administration of PAE can alleviate the effects of hotair on renal interstitial fibrosis.,30714138,Paeonol reverses promoting effect of the HOTAIR/miR-124/Notch1 axis on renal interstitial fibrosis in a rat model,2019
kidney,nephritis_interstitia,mus_musculus,Tug1,ENSMUSG00000056579,lncrna,up-regulation,NA,TGF-BETA SIGNALING PATHWAY,Tug1 promotes epithelial-mesenchymal transition in TGF-beta-induced human renal proximal tubular epithelial cells via upregulation of beta-catenin levels by sponging miR-141-3p.,33135476,Silencing of the lncRNA TUG1 attenuates the epithelial-mesenchymal transition of renal tubular epithelial cells by sponging miR-141-3p via regulating beta-catenin,2020
kidney,diabetic_nephropathy,mus_musculus,Snhg18,ENSMUSG00000096956,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,1500026H17Rik,ENSMUSG00000097383,lncrna,up-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,2610035D17Rik,ENSMUSG00000087259,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,4930556M19Rik,ENSMUSG00000096971,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,6030443J06Rik,ENSMUSG00000097207,lncrna,up-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,C330002G04Rik,ENSMUSG00000097930,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,D630029K05Rik,ENSMUSG00000031294,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,Snhg6,ENSMUSG00000098234,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,1700020I14Rik,ENSMUSG00000085438,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,AV099323,ENSMUSG00000087377,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,diabetic_nephropathy,mus_musculus,C920006O11Rik,ENSMUSG00000097574,lncrna,down-regulation,NA,NA,Twelve lncRNAs displayed the same expressional tendencies in both renal tissues and mesangial cells.,28151474,LincRNA-Gm4419 knockdown ameliorates NF-KB/NLRP3 inflammasome-mediated inflammation in diabetic nephropathy,2017
kidney,renal_fibrosis,mus_musculus,3110045C21Rik,ENSMUSG00000097503,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 10D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,3110099E03Rik,ENSMUSG00000085582,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 11D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,3300005D01Rik,ENSMUSG00000096965,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 12D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,4833418N02Rik,ENSMUSG00000085287,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 13D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,9130409J20Rik,ENSMUSG00000085683,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 14D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,9330175E14Rik,ENSMUSG00000097194,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 15D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,A730020E08Rik,ENSMUSG00000097924,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 16D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,AI504432,ENSMUSG00000056145,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 17D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,AI662270,ENSMUSG00000087107,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 18D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,D630024D03Rik,ENSMUSG00000085772,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 19D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,D630029K05Rik,ENSMUSG00000031294,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 20D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gdap10,100504486,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 21D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm10069,ENSMUSG00000059659,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 22D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm10804,ENSMUSG00000075025,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 23D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm11752,ENSMUSG00000087404,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 24D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm12678,ENSMUSG00000084854,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 25D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm13412,ENSMUSG00000085017,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 26D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm16685,ENSMUSG00000097804,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 27D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Gm9951,ENSMUSG00000054618,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 28D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
